neg,neu,pos,compound,sentiment
0,1,0,0,neutral
0.175,0.825,0,-0.624,negative
0,1,0,0,neutral
0.313,0.687,0,-0.6249,negative
0.117,0.739,0.143,0.1531,positive
0.128,0.872,0,-0.2263,negative
0,0.882,0.118,0.0516,positive
0,0.751,0.249,0.5106,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.106,0.894,0,-0.3818,negative
0,1,0,0,neutral
0,0.654,0.346,0.5719,positive
0,0.881,0.119,0.4019,positive
0.359,0.549,0.092,-0.8519,negative
0,0.588,0.412,0.743,positive
0,0.865,0.135,0.3612,positive
0,0.821,0.179,0.34,positive
0,0.857,0.143,0.25,positive
0,0.86,0.14,0.3818,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.944,0.056,0.0772,positive
0,0.899,0.101,0.2023,positive
0,1,0,0,neutral
0,0.838,0.162,0.3626,positive
0,0.879,0.121,0.296,positive
0.133,0.691,0.176,0.2023,positive
0,1,0,0,neutral
0.17,0.83,0,-0.5423,negative
0,1,0,0,neutral
0,0.895,0.105,0.4019,positive
0,1,0,0,neutral
0.166,0.69,0.145,-0.0772,negative
0.05,0.833,0.117,0.3818,positive
0,0.714,0.286,0.4939,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.275,0.725,0,-0.2263,negative
0.222,0.507,0.271,0.1461,positive
0,1,0,0,neutral
0,0.841,0.159,0.5574,positive
0,0.95,0.05,0.0644,positive
0,1,0,0,neutral
0.169,0.831,0,-0.743,negative
0.226,0.774,0,-0.6769,negative
0.135,0.865,0,-0.4404,negative
0.053,0.815,0.132,0.5574,positive
0.076,0.727,0.197,0.5423,positive
0,0.886,0.114,0.2023,positive
0,1,0,0,neutral
0.202,0.798,0,-0.5106,negative
0,0.845,0.155,0.5106,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.714,0.286,0.4939,positive
0.089,0.691,0.22,0.4939,positive
0.18,0.82,0,-0.296,negative
0.05,0.922,0.028,-0.2411,negative
0,1,0,0,neutral
0.215,0.785,0,-0.3535,negative
0.091,0.909,0,-0.1027,negative
0.2,0.8,0,-0.6124,negative
0,1,0,0,neutral
0,0.909,0.091,0.3182,positive
0,1,0,0,neutral
0.188,0.681,0.131,-0.2732,negative
0.13,0.87,0,-0.3818,negative
0,0.615,0.385,0.6834,positive
0,0.862,0.138,0.5859,positive
0,1,0,0,neutral
0.345,0.655,0,-0.9119,negative
0,1,0,0,neutral
0,0.826,0.174,0.743,positive
0,1,0,0,neutral
0.429,0.571,0,-0.936,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,0.804,0.196,0.807,positive
0.209,0.791,0,-0.4404,negative
0,0.828,0.172,0.4019,positive
0.248,0.752,0,-0.765,negative
0,0.903,0.097,0.4404,positive
0.216,0.784,0,-0.296,negative
0,1,0,0,neutral
0.433,0.567,0,-0.7269,negative
0,1,0,0,neutral
0.32,0.68,0,-0.6908,negative
0,0.835,0.165,0.6705,positive
0.247,0.639,0.114,-0.4404,negative
0,1,0,0,neutral
0.031,0.969,0,-0.0762,negative
0,1,0,0,neutral
0,0.903,0.097,0.128,positive
0,0.857,0.143,0.25,positive
0,1,0,0,neutral
0.2,0.8,0,-0.4588,negative
0.128,0.872,0,-0.2023,negative
0.249,0.751,0,-0.8074,negative
0.136,0.864,0,-0.296,negative
0,0.753,0.247,0.5574,positive
0.362,0.638,0,-0.9093,negative
0,0.87,0.13,0.5574,positive
0,0.818,0.182,0.7003,positive
0,0.71,0.29,0.5423,positive
0.211,0.789,0,-0.5859,negative
0.027,0.861,0.111,0.5149,positive
0,1,0,0,neutral
0,0.859,0.141,0.4215,positive
0,1,0,0,neutral
0,1,0,0,neutral
0.074,0.847,0.079,0.0258,neutral
0,1,0,0,neutral
0.238,0.762,0,-0.3612,negative
0.095,0.811,0.095,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.838,0.162,0.4404,positive
0,1,0,0,neutral
0.128,0.731,0.142,0.3182,positive
0.158,0.71,0.131,-0.128,negative
0,0.887,0.113,0.3182,positive
0,1,0,0,neutral
0,1,0,0,neutral
0.244,0.756,0,-0.6369,negative
0.105,0.667,0.229,0.3818,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.086,0.822,0.092,0.0516,positive
0,0.818,0.182,0.7003,positive
0,1,0,0,neutral
0.217,0.783,0,-0.3612,negative
0.227,0.773,0,-0.6249,negative
0.111,0.889,0,-0.3612,negative
0,1,0,0,neutral
0,0.584,0.416,0.8934,positive
0,0.897,0.103,0.4336,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.159,0.51,0.331,0.4019,positive
0.141,0.859,0,-0.3182,negative
0,1,0,0,neutral
0,0.789,0.211,0.4939,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.255,0.745,0,-0.6249,negative
0,1,0,0,neutral
0.132,0.868,0,-0.4404,negative
0.097,0.903,0,-0.4767,negative
0,0.786,0.214,0.4588,positive
0,1,0,0,neutral
0,0.768,0.232,0.1833,positive
0,1,0,0,neutral
0,0.885,0.115,0.0772,positive
0,1,0,0,neutral
0,1,0,0,neutral
0.11,0.856,0.034,-0.3612,negative
0.409,0.591,0,-0.8519,negative
0,1,0,0,neutral
0.078,0.714,0.208,0.4588,positive
0,0.788,0.212,0.7906,positive
0,0.839,0.161,0.4005,positive
0.121,0.879,0,-0.4588,negative
0.188,0.699,0.114,-0.1779,negative
0.106,0.894,0,-0.1695,negative
0.149,0.851,0,-0.2732,negative
0,0.915,0.085,0.4019,positive
0.358,0.642,0,-0.8316,negative
0,0.833,0.167,0.3818,positive
0,0.791,0.209,0.4404,positive
0,0.806,0.194,0.34,positive
0,1,0,0,neutral
0.128,0.572,0.3,0.8074,positive
0,0.852,0.148,0.5423,positive
0,1,0,0,neutral
0.324,0.614,0.061,-0.8271,negative
0,0.926,0.074,0.25,positive
0,0.615,0.385,0.6124,positive
0.164,0.727,0.109,-0.2263,negative
0,1,0,0,neutral
0,0.795,0.205,0.5994,positive
0,1,0,0,neutral
0,1,0,0,neutral
0.159,0.841,0,-0.6486,negative
0,1,0,0,neutral
0,0.671,0.329,0.5994,positive
0,1,0,0,neutral
0,0.64,0.36,0.7351,positive
0.11,0.89,0,-0.3818,negative
0.092,0.908,0,-0.0572,negative
0,1,0,0,neutral
0.198,0.802,0,-0.4939,negative
0.366,0.591,0.043,-0.9287,negative
0.322,0.678,0,-0.5859,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,0.811,0.189,0.2732,positive
0.263,0.737,0,-0.3612,negative
0,0.755,0.245,0.3818,positive
0.24,0.577,0.183,-0.1531,negative
0,0.824,0.176,0.4939,positive
0.135,0.865,0,-0.4215,negative
0.134,0.625,0.241,0.296,positive
0.041,0.858,0.101,0.4588,positive
0.192,0.57,0.237,0.5046,positive
0.18,0.82,0,-0.296,negative
0.113,0.792,0.094,-0.128,negative
0.322,0.575,0.103,-0.5859,negative
0,1,0,0,neutral
0.291,0.511,0.198,-0.7351,negative
0,1,0,0,neutral
0,1,0,0,neutral
0.252,0.397,0.351,0.128,positive
0,1,0,0,neutral
0.356,0.644,0,-0.9382,negative
0,0.644,0.356,0.7351,positive
0.105,0.895,0,-0.4019,negative
0,1,0,0,neutral
0.119,0.881,0,-0.3182,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,0.827,0.173,0.5859,positive
0.109,0.655,0.236,0.3612,positive
0,0.662,0.338,0.9153,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.081,0.814,0.105,0.1027,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.825,0.175,0.1779,positive
0.332,0.548,0.12,-0.5945,negative
0.119,0.881,0,-0.3774,negative
0,0.925,0.075,0.0772,positive
0,1,0,0,neutral
0.206,0.794,0,-0.6369,negative
0.068,0.737,0.195,0.5106,positive
0.286,0.714,0,-0.9413,negative
0.142,0.858,0,-0.5106,negative
0,1,0,0,neutral
0.214,0.786,0,-0.4588,negative
0,1,0,0,neutral
0.215,0.785,0,-0.7506,negative
0,1,0,0,neutral
0.136,0.864,0,-0.296,negative
0.237,0.632,0.132,-0.4588,negative
0,1,0,0,neutral
0,1,0,0,neutral
0.226,0.774,0,-0.5423,negative
0,0.833,0.167,0.2023,positive
0.409,0.591,0,-0.8074,negative
0.209,0.791,0,-0.4404,negative
0,1,0,0,neutral
0,0.704,0.296,0.743,positive
0,0.659,0.341,0.6908,positive
0.198,0.66,0.142,-0.2732,negative
0,0.875,0.125,0.25,positive
0,1,0,0,neutral
0,1,0,0,neutral
0.343,0.657,0,-0.5719,negative
0.149,0.851,0,-0.2732,negative
0,1,0,0,neutral
0.163,0.837,0,-0.5994,negative
0.077,0.769,0.154,0.34,positive
0,0.744,0.256,0.4754,positive
0,0.752,0.248,0.6808,positive
0.141,0.859,0,-0.2023,negative
0,1,0,0,neutral
0,1,0,0,neutral
0.286,0.714,0,-0.5574,negative
0,0.621,0.379,0.7269,positive
0,1,0,0,neutral
0.153,0.681,0.165,0.0956,positive
0,1,0,0,neutral
0.467,0.533,0,-0.5423,negative
0,1,0,0,neutral
0.205,0.795,0,-0.7351,negative
0.157,0.668,0.175,-0.2769,negative
0.11,0.89,0,-0.5574,negative
0,1,0,0,neutral
0.252,0.649,0.099,-0.6124,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.732,0.268,0.6705,positive
0,1,0,0,neutral
0.071,0.89,0.04,-0.25,negative
0,1,0,0,neutral
0.066,0.716,0.218,0.6908,positive
0,1,0,0,neutral
0.254,0.685,0.06,-0.5859,negative
0.042,0.958,0,-0.1027,negative
0,1,0,0,neutral
0.193,0.766,0.04,-0.6369,negative
0,1,0,0,neutral
0.313,0.687,0,-0.6249,negative
0.221,0.602,0.177,-0.0772,negative
0,1,0,0,neutral
0,0.649,0.351,0.4019,positive
0,1,0,0,neutral
0.226,0.774,0,-0.5423,negative
0.065,0.822,0.114,0.1719,positive
0.342,0.658,0,-0.3818,negative
0,0.923,0.077,0.25,positive
0,1,0,0,neutral
0,0.819,0.181,0.6249,positive
0.299,0.511,0.19,-0.3612,negative
0.368,0.632,0,-0.5423,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.782,0.218,0.6486,positive
0.163,0.837,0,-0.5106,negative
0.116,0.884,0,-0.4404,negative
0,0.842,0.158,0.717,positive
0,1,0,0,neutral
0,0.892,0.108,0.3182,positive
0,0.877,0.123,0.4215,positive
0.067,0.854,0.079,0.1002,positive
0,0.744,0.256,0.6705,positive
0,0.828,0.172,0.6808,positive
0,1,0,0,neutral
0.231,0.769,0,-0.5574,negative
0,1,0,0,neutral
0,0.891,0.109,0.4019,positive
0,1,0,0,neutral
0,0.896,0.104,0.2732,positive
0,0.783,0.217,0.3612,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.833,0.167,0.4215,positive
0,0.796,0.204,0.3182,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.865,0.135,0.4215,positive
0.188,0.812,0,-0.6908,negative
0,0.859,0.141,0.2023,positive
0,0.764,0.236,0.5719,positive
0.185,0.815,0,-0.5267,negative
0,1,0,0,neutral
0,0.941,0.059,0.3612,positive
0,1,0,0,neutral
0,0.902,0.098,0.0772,positive
0.31,0.597,0.093,-0.7624,negative
0,1,0,0,neutral
0,0.866,0.134,0.1779,positive
0,0.612,0.388,0.6908,positive
0.251,0.648,0.1,-0.6858,negative
0.532,0.468,0,-0.8442,negative
0.15,0.85,0,-0.3182,negative
0.099,0.807,0.095,-0.0232,neutral
0.105,0.827,0.068,-0.1306,negative
0,0.748,0.252,0.6597,positive
0.376,0.537,0.087,-0.6486,negative
0,1,0,0,neutral
0,0.924,0.076,0.34,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.798,0.202,0.5106,positive
0,0.853,0.147,0.4767,positive
0.1,0.9,0,-0.2732,negative
0.15,0.654,0.196,-0.2023,negative
0.161,0.839,0,-0.3182,negative
0,1,0,0,neutral
0,1,0,0,neutral
0.12,0.88,0,-0.3818,negative
0,1,0,0,neutral
0.101,0.899,0,-0.5423,negative
0.117,0.813,0.071,-0.3182,negative
0,0.714,0.286,0.4939,positive
0,0.836,0.164,0.5994,positive
0.214,0.69,0.097,-0.5267,negative
0.095,0.777,0.127,0.2263,positive
0,1,0,0,neutral
0,0.863,0.137,0.4019,positive
0,1,0,0,neutral
0.533,0.467,0,-0.9287,negative
0,1,0,0,neutral
0.086,0.856,0.059,-0.1531,negative
0.068,0.932,0,-0.296,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,0.905,0.095,0.2732,positive
0,1,0,0,neutral
0.11,0.89,0,-0.2732,negative
0,0.902,0.098,0.34,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,0.668,0.332,0.4549,positive
0,1,0,0,neutral
0.133,0.867,0,-0.3182,negative
0,1,0,0,neutral
0,0.929,0.071,0.0762,positive
0,1,0,0,neutral
0.114,0.667,0.22,0.1779,positive
0,1,0,0,neutral
0.145,0.743,0.112,0.0258,neutral
0,1,0,0,neutral
0,0.918,0.082,0.1779,positive
0,0.84,0.16,0.2732,positive
0,0.849,0.151,0.1531,positive
0,0.93,0.07,0.34,positive
0,0.886,0.114,0.5574,positive
0.111,0.704,0.186,0.3612,positive
0,0.867,0.133,0.3818,positive
0,0.906,0.094,0.3818,positive
0,1,0,0,neutral
0,0.591,0.409,0.8225,positive
0,0.616,0.384,0.642,positive
0,1,0,0,neutral
0,1,0,0,neutral
0.258,0.742,0,-0.7096,negative
0.104,0.896,0,-0.4215,negative
0,0.92,0.08,0.0772,positive
0,0.896,0.104,0.5994,positive
0,0.824,0.176,0.4939,positive
0.116,0.884,0,-0.3612,negative
0,0.909,0.091,0.3612,positive
0.36,0.526,0.114,-0.5859,negative
0.273,0.727,0,-0.7579,negative
0,1,0,0,neutral
0.31,0.69,0,-0.5574,negative
0,0.714,0.286,0.4939,positive
0,0.843,0.157,0.6808,positive
0.107,0.893,0,-0.4767,negative
0.65,0.35,0,-0.9186,negative
0,1,0,0,neutral
0.125,0.796,0.08,-0.3182,negative
0,1,0,0,neutral
0,0.732,0.268,0.6705,positive
0,0.796,0.204,0.3182,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.101,0.762,0.137,0.0516,positive
0,0.8,0.2,0.3612,positive
0.178,0.822,0,-0.6369,negative
0,0.861,0.139,0.5719,positive
0,1,0,0,neutral
0.174,0.826,0,-0.8304,negative
0,1,0,0,neutral
0,0.839,0.161,0.3612,positive
0,1,0,0,neutral
0,0.882,0.118,0.34,positive
0,0.85,0.15,0.3182,positive
0.218,0.782,0,-0.3041,negative
0.132,0.868,0,-0.4404,negative
0.175,0.825,0,-0.6249,negative
0.107,0.825,0.068,-0.2023,negative
0,0.775,0.225,0.4939,positive
0.122,0.714,0.163,0.0516,positive
0,0.857,0.143,0.3612,positive
0,1,0,0,neutral
0.25,0.662,0.088,-0.4939,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.754,0.246,0.6369,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.185,0.4,0.415,0.6808,positive
0,1,0,0,neutral
0,0.625,0.375,0.8316,positive
0,0.802,0.198,0.5719,positive
0.081,0.919,0,-0.296,negative
0,1,0,0,neutral
0,0.87,0.13,0.4019,positive
0,0.769,0.231,0.5106,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,0.833,0.167,0.4939,positive
0,0.867,0.133,0.3182,positive
0.255,0.604,0.141,-0.5267,negative
0,1,0,0,neutral
0,1,0,0,neutral
0.357,0.643,0,-0.7269,negative
0.363,0.637,0,-0.8207,negative
0,0.737,0.263,0.4588,positive
0,0.769,0.231,0.3818,positive
0,1,0,0,neutral
0,1,0,0,neutral
0.361,0.42,0.218,-0.4019,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.124,0.796,0.08,-0.34,negative
0.382,0.531,0.087,-0.7964,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.839,0.161,0.3182,positive
0,0.775,0.225,0.4939,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,0.775,0.225,0.4939,positive
0,0.743,0.257,0.6369,positive
0,1,0,0,neutral
0.125,0.875,0,-0.3753,negative
0,0.914,0.086,0.1779,positive
0.273,0.727,0,-0.7184,negative
0.054,0.839,0.107,0.3818,positive
0,1,0,0,neutral
0,0.851,0.149,0.4215,positive
0,0.873,0.127,0.4404,positive
0.091,0.909,0,-0.2263,negative
0,1,0,0,neutral
0.171,0.829,0,-0.5106,negative
0,1,0,0,neutral
0.055,0.945,0,-0.1027,negative
0.197,0.803,0,-0.5994,negative
0,0.844,0.156,0.6124,positive
0.265,0.735,0,-0.5574,negative
0,1,0,0,neutral
0,0.825,0.175,0.6249,positive
0.213,0.787,0,-0.4019,negative
0,0.865,0.135,0.3818,positive
0,1,0,0,neutral
0,1,0,0,neutral
0.123,0.877,0,-0.2732,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.119,0.881,0,-0.5216,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,0.892,0.108,0.1779,positive
0.348,0.652,0,-0.7906,negative
0,1,0,0,neutral
0.114,0.786,0.1,-0.0772,negative
0,0.595,0.405,0.7299,positive
0.139,0.861,0,-0.3089,negative
0.293,0.707,0,-0.7003,negative
0,1,0,0,neutral
0,1,0,0,neutral
0.059,0.846,0.095,0.34,positive
0.191,0.809,0,-0.5106,negative
0.1,0.786,0.114,0.1027,positive
0.128,0.872,0,-0.296,negative
0.06,0.851,0.089,0.1779,positive
0.171,0.829,0,-0.4767,negative
0.155,0.845,0,-0.3384,negative
0,0.903,0.097,0.4019,positive
0,1,0,0,neutral
0.097,0.903,0,-0.1027,negative
0,0.817,0.183,0.5719,positive
0.247,0.753,0,-0.3182,negative
0,0.888,0.112,0.2263,positive
0,0.798,0.202,0.5859,positive
0.213,0.667,0.12,-0.2732,negative
0,1,0,0,neutral
0.092,0.8,0.108,0.1027,positive
0,1,0,0,neutral
0.389,0.611,0,-0.7906,negative
0.164,0.836,0,-0.5719,negative
0,1,0,0,neutral
0,1,0,0,neutral
0.14,0.86,0,-0.3818,negative
0.162,0.838,0,-0.4019,negative
0,1,0,0,neutral
0,0.8,0.2,0.5413,positive
0,0.744,0.256,0.5423,positive
0,1,0,0,neutral
0.515,0.485,0,-0.8591,negative
0.278,0.722,0,-0.6597,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.913,0.087,0.2263,positive
0,1,0,0,neutral
0.176,0.824,0,-0.4588,negative
0.155,0.672,0.172,0.1027,positive
0,0.753,0.247,0.5574,positive
0,1,0,0,neutral
0.141,0.754,0.106,-0.1779,negative
0,0.84,0.16,0.5859,positive
0,0.719,0.281,0.6222,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.444,0.556,0,-0.802,negative
0,0.93,0.07,0.2023,positive
0.2,0.8,0,-0.7574,negative
0,1,0,0,neutral
0.211,0.67,0.119,-0.4215,negative
0.121,0.791,0.088,-0.1779,negative
0,0.82,0.18,0.5267,positive
0.113,0.887,0,-0.4201,negative
0,1,0,0,neutral
0,0.784,0.216,0.5267,positive
0,0.803,0.197,0.8519,positive
0,1,0,0,neutral
0.139,0.861,0,-0.5255,negative
0.055,0.945,0,-0.296,negative
0,0.819,0.181,0.6486,positive
0,0.714,0.286,0.5859,positive
0,0.825,0.175,0.5256,positive
