country,percentage_value,percentage
Nigeria,78,in %
Thailand,75,in %
Malaysia,74,in %
South Africa,73,in %
Kenya,72,in %
Philippines,70,in %
Peru,66,in %
Chile,65,in %
Indonesia,65,in %
Colombia,64,in %
Mexico,63,in %
Greece,61,in %
Bulgaria,61,in %
Hungary,61,in %
Argentina,61,in %
Singapore,58,in %
Brazil,57,in %
Hong Kong,55,in %
Turkey,54,in %
India,52,in %
Taiwan,52,in %
Croatia,52,in %
Slovakia,51,in %
Spain,50,in %
Czech Republic,50,in %
Poland,50,in %
Portugal,50,in %
Ireland,48,in %
United States,48,in %
Romania,47,in %
Norway,45,in %
South Korea,45,in %
Canada,45,in %
Australia,45,in %
Finland,44,in %
Belgium,43,in %
Sweden,43,in %
Italy,42,in %
Denmark,40,in %
Netherlands,39,in %
Switzerland,39,in %
Austria,39,in %
United Kingdom,38,in %
France,34,in %
Germany,29,in %
Japan,23,in %